pyre	English	Pyre
pyre	French	Bûcher
pyre	Italian	Pira
pyre	German	Scheiterhaufen
pyre	SpanishSpain	Pira
pyre	SpanishLatam	Pira
pyre	BRPortuguese	Pira
pyre	Russian	Погребальный костёр
pyre	Ukrainian	Похоронне багаття
pyre	SimplifiedChinese	火葬堆
pyre	TraditionalChinese	火葬堆
pyre	Japanese	薪の山
pyre	Korean	장작더미
pyre	Polish	Stos
pyre	Turkish	Odun Yığını
jellyfish	English	Jellyfish
jellyfish	French	Méduse
jellyfish	Italian	Medusa
jellyfish	German	Qualle
jellyfish	SpanishSpain	Medusa
jellyfish	SpanishLatam	Medusa
jellyfish	BRPortuguese	Água-viva
jellyfish	Russian	Медуза
jellyfish	Ukrainian	Медуза
jellyfish	SimplifiedChinese	水母
jellyfish	TraditionalChinese	水母
jellyfish	Japanese	クラゲ
jellyfish	Korean	해파리
jellyfish	Polish	Meduza
jellyfish	Turkish	Denizanası
spider	English	Spider
spider	French	Araignée
spider	Italian	Ragno
spider	German	Spinne
spider	SpanishSpain	Araña
spider	SpanishLatam	Araña
spider	BRPortuguese	Aranha
spider	Russian	Паук
spider	Ukrainian	Павук
spider	SimplifiedChinese	蜘蛛
spider	TraditionalChinese	蜘蛛
spider	Japanese	クモ
spider	Korean	거미
spider	Polish	Pająk
spider	Turkish	Örümcek
capybara	English	Capybara
capybara	French	Capybara
capybara	Italian	Capibara
capybara	German	Capybara
capybara	SpanishSpain	Capibara
capybara	SpanishLatam	Carpincho
capybara	BRPortuguese	Capivara
capybara	Russian	Капибара
capybara	Ukrainian	Капібара
capybara	SimplifiedChinese	水豚
capybara	TraditionalChinese	水豚
capybara	Japanese	カピバラ
capybara	Korean	카피바라
capybara	Polish	Kapibara
capybara	Turkish	Kapibara
zombie	English	Zombie
zombie	French	Zombie
zombie	Italian	Zombie
zombie	German	Zombie
zombie	SpanishSpain	Zombi
zombie	SpanishLatam	Zombi
zombie	BRPortuguese	Zumbi
zombie	Russian	Зомби
zombie	Ukrainian	Зомбі
zombie	SimplifiedChinese	僵尸
zombie	TraditionalChinese	殭屍
zombie	Japanese	ゾンビ
zombie	Korean	좀비
zombie	Polish	Zombie
zombie	Turkish	Zombi
antlion	English	Antlion
antlion	French	Fourmilion
antlion	Italian	Formicaleone
antlion	German	Ameisenlöwe
antlion	SpanishSpain	Hormiga león
antlion	SpanishLatam	Hormiga león
antlion	BRPortuguese	Formiga-leão
antlion	Russian	Муравьиный лев
antlion	Ukrainian	Мурашиний лев
antlion	SimplifiedChinese	蚁狮
antlion	TraditionalChinese	蟻獅
antlion	Japanese	アリジゴク
antlion	Korean	개미귀신
antlion	Polish	Mrówkolew
antlion	Turkish	Karınca Aslanı
pickaxe	English	Pickaxe
pickaxe	French	Pioche
pickaxe	Italian	Piccone
pickaxe	German	Spitzhacke
pickaxe	SpanishSpain	Pico
pickaxe	SpanishLatam	Pico
pickaxe	BRPortuguese	Picareta
pickaxe	Russian	Кирка
pickaxe	Ukrainian	Кирка
pickaxe	SimplifiedChinese	镐
pickaxe	TraditionalChinese	鎬
pickaxe	Japanese	ツルハシ
pickaxe	Korean	곡괭이
pickaxe	Polish	Kilof
pickaxe	Turkish	Kazma
piton	English	Piton
piton	French	Piton
piton	Italian	Chiodo da roccia
piton	German	Felshaken
piton	SpanishSpain	Clavija
piton	SpanishLatam	Clavija
piton	BRPortuguese	Grampo
piton	Russian	Крюк
piton	Ukrainian	Гак
piton	SimplifiedChinese	岩钉
piton	TraditionalChinese	岩釘
piton	Japanese	ハーケン
piton	Korean	하켄
piton	Polish	Hak skalny
piton	Turkish	Kaya Çivisi
giant-urchin	English	Giant Urchin
giant-urchin	French	Oursin géant
giant-urchin	Italian	Riccio gigante
giant-urchin	German	Riesenseeigel
giant-urchin	SpanishSpain	Erizo gigante
giant-urchin	SpanishLatam	Erizo gigante
giant-urchin	BRPortuguese	Ouriço gigante
giant-urchin	Russian	Гигантский морской ёж
giant-urchin	Ukrainian	Гігантський морський їжак
giant-urchin	SimplifiedChinese	巨型海胆
