Campfire	enable-campfire-indicator	English	ENABLE CAMPFIRE INDICATOR	Show an always-on edge-of-screen indicator pointing at the current segment's campfire (the one you're trying to reach next), so you always know which way to go. Turn it off if you'd rather find your own way up and keep the rest of the mod.
Campfire	enable-campfire-indicator	French	ACTIVER L'INDICATEUR DE FEU DE CAMP	Affiche un indicateur permanent en bord d'écran pointant vers le feu de camp du segment actuel (celui que vous essayez d'atteindre), pour toujours savoir où aller. Désactivez-le si vous préférez trouver votre propre chemin tout en gardant le reste du mod.
Campfire	enable-campfire-indicator	Italian	ATTIVA INDICATORE FALÒ	Mostra un indicatore sempre attivo sul bordo dello schermo che punta verso il falò del segmento attuale (quello che stai cercando di raggiungere), così saprai sempre da che parte andare. Disattivalo se preferisci trovare la tua strada da solo mantenendo il resto del mod.
Campfire	enable-campfire-indicator	German	LAGERFEUER-ANZEIGE AKTIVIEREN	Zeigt eine dauerhafte Bildschirmrand-Anzeige, die auf das Lagerfeuer des aktuellen Abschnitts zeigt (das, das du gerade erreichen willst), damit du immer weißt, wohin es geht. Schalte es aus, wenn du deinen eigenen Weg finden und trotzdem den Rest des Mods behalten möchtest.
Campfire	enable-campfire-indicator	SpanishSpain	ACTIVAR INDICADOR DE HOGUERA	Muestra un indicador permanente en el borde de la pantalla que señala hacia la hoguera del segmento actual (la que intentas alcanzar), para que siempre sepas hacia dónde ir. Desactívalo si prefieres encontrar tu propio camino y conservar el resto del mod.
Campfire	enable-campfire-indicator	SpanishLatam	ACTIVAR INDICADOR DE FOGATA	Muestra un indicador permanente en el borde de la pantalla que señala hacia la fogata del segmento actual (la que intentas alcanzar), para que siempre sepas hacia dónde ir. Desactívalo si prefieres encontrar tu propio camino y conservar el resto del mod.
Campfire	enable-campfire-indicator	BRPortuguese	ATIVAR INDICADOR DE FOGUEIRA	Mostra um indicador permanente na borda da tela apontando para a fogueira do segmento atual (aquela que você está tentando alcançar), para que você sempre saiba para onde ir. Desative se preferir encontrar seu próprio caminho e manter o resto do mod.
Campfire	enable-campfire-indicator	Russian	ВКЛЮЧИТЬ ИНДИКАТОР КОСТРА	Показывает постоянный индикатор на краю экрана, указывающий на костёр текущего участка (тот, к которому вы стремитесь), чтобы вы всегда знали, куда идти. Отключите, если предпочитаете искать путь сами, сохранив остальной функционал мода.
Campfire	enable-campfire-indicator	Ukrainian	УВІМКНУТИ ІНДИКАТОР БАГАТТЯ	Показує постійний індикатор на краю екрана, що вказує на багаття поточної ділянки (те, до якого ви прямуєте), щоб ви завжди знали, куди йти. Вимкніть, якщо волієте шукати шлях самостійно, зберігаючи решту функціоналу мода.
Campfire	enable-campfire-indicator	SimplifiedChinese	启用篝火指示器	始终显示一个屏幕边缘指示器，指向当前段落的篝火（你正试图到达的那个），这样你就能一直知道该往哪走。如果你更想自己摸索路线，同时保留模组其余功能，可以关闭此项。
Campfire	enable-campfire-indicator	TraditionalChinese	啟用營火指示器	始終顯示一個螢幕邊緣指示器，指向目前段落的營火（你正試圖到達的那個），讓你隨時知道該往哪走。若你想自己摸索路線並保留模組其餘功能，可以關閉此項。
Campfire	enable-campfire-indicator	Japanese	焚き火インジケーターを有効化	現在の区間の焚き火（次に目指す焚き火）を指す、常時表示の画面端インジケーターを表示し、常にどちらへ進めばよいか分かるようにします。自分で道を見つけたい場合は無効にしても、MODの他の機能はそのまま使えます。
Campfire	enable-campfire-indicator	Korean	모닥불 표시기 활성화	현재 구간의 모닥불(다음에 도달하려는 목표)을 가리키는 화면 가장자리 표시기를 항상 표시하여 어느 방향으로 가야 할지 항상 알 수 있게 합니다. 직접 길을 찾고 싶다면 이 기능만 끄고 모드의 나머지 기능은 그대로 사용할 수 있습니다.
Campfire	enable-campfire-indicator	Polish	WŁĄCZ WSKAŹNIK OGNISKA	Pokazuje stały wskaźnik na krawędzi ekranu wskazujący na ognisko bieżącego odcinka (to, do którego zmierzasz), dzięki czemu zawsze wiesz, w którą stronę iść. Wyłącz, jeśli wolisz sam znajdować drogę, zachowując resztę funkcji moda.
Campfire	enable-campfire-indicator	Turkish	KAMP ATEŞİ GÖSTERGESİNİ ETKİNLEŞTİR	Mevcut bölümün kamp ateşine (ulaşmaya çalıştığınız ateşe) işaret eden, her zaman açık bir ekran kenarı göstergesi gösterir; böylece her zaman hangi yöne gideceğinizi bilirsiniz. Kendi yolunuzu bulmayı tercih ediyorsanız ve modun geri kalanını korumak istiyorsanız kapatabilirsiniz.
Campfire	show-distance	English	SHOW DISTANCE	Show the distance sub-line under the campfire indicator.
Campfire	show-distance	French	AFFICHER LA DISTANCE	Affiche la sous-ligne de distance sous l'indicateur de feu de camp.
Campfire	show-distance	Italian	MOSTRA DISTANZA	Mostra la sottolinea della distanza sotto l'indicatore del falò.
Campfire	show-distance	German	ENTFERNUNG ANZEIGEN	Zeigt die Entfernungszeile unter der Lagerfeuer-Anzeige.
Campfire	show-distance	SpanishSpain	MOSTRAR DISTANCIA	Muestra la línea de distancia debajo del indicador de la hoguera.
Campfire	show-distance	SpanishLatam	MOSTRAR DISTANCIA	Muestra la línea de distancia debajo del indicador de la fogata.
Campfire	show-distance	BRPortuguese	MOSTRAR DISTÂNCIA	Mostra a linha de distância abaixo do indicador da fogueira.
Campfire	show-distance	Russian	ПОКАЗЫВАТЬ РАССТОЯНИЕ	Показывает строку расстояния под индикатором костра.
Campfire	show-distance	Ukrainian	ПОКАЗУВАТИ ВІДСТАНЬ	Показує рядок відстані під індикатором багаття.
Campfire	show-distance	SimplifiedChinese	显示距离	在篝火指示器下方显示距离子行。
Campfire	show-distance	TraditionalChinese	顯示距離	在營火指示器下方顯示距離子行。
Campfire	show-distance	Japanese	距離を表示	焚き火インジケーターの下に距離のサブ行を表示します。
Campfire	show-distance	Korean	거리 표시	모닥불 표시기 아래에 거리 보조 줄을 표시합니다.
Campfire	show-distance	Polish	POKAŻ ODLEGŁOŚĆ	Pokazuje linię odległości pod wskaźnikiem ogniska.
Campfire	show-distance	Turkish	MESAFEYİ GÖSTER	Kamp ateşi göstergesinin altında mesafe alt satırını gösterir.
Compass	enable-compass	English	ENABLE COMPASS	Master switch for the top-of-screen compass tape. Off hides it entirely regardless of any individual mechanic's placement setting.
Compass	enable-compass	French	ACTIVER LA BOUSSOLE	Interrupteur principal pour la bande de boussole en haut de l'écran. Désactivé la masque entièrement, quel que soit le réglage de placement propre à chaque mécanique.
Compass	enable-compass	Italian	ATTIVA BUSSOLA	Interruttore principale per la barra della bussola in alto sullo schermo. Disattivato la nasconde completamente, indipendentemente dall'impostazione di posizionamento propria di ogni meccanica.
Compass	enable-compass	German	KOMPASS AKTIVIEREN	Hauptschalter für das Kompassband am oberen Bildschirmrand. Deaktiviert blendet es komplett aus, unabhängig von der eigenen Platzierungseinstellung jedes Mechanismus.
Compass	enable-compass	SpanishSpain	ACTIVAR BRÚJULA	Interruptor principal de la cinta de brújula en la parte superior de la pantalla. Desactivado la oculta por completo, sin importar el ajuste de ubicación propio de cada mecánica.
Compass	enable-compass	SpanishLatam	ACTIVAR BRÚJULA	Interruptor principal de la cinta de brújula en la parte superior de la pantalla. Desactivado la oculta por completo, sin importar el ajuste de ubicación propio de cada mecánica.
